epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,40.9454,0.77858,0.94705,1.02159,0.96137,1,0.995,0.80403,0.73331,1.46821,1.16469,0.000515,0.000515,0.000515
77,41.4315,0.74749,0.92556,1.00147,0.97302,1,0.995,0.80167,0.73531,1.38435,1.15581,0.0004952,0.0004952,0.0004952
78,41.925,0.75043,0.88699,1.00647,0.97302,1,0.995,0.80167,0.73531,1.38435,1.15581,0.0004754,0.0004754,0.0004754
79,42.4115,0.72082,0.92721,1.01711,0.97942,1,0.995,0.80579,0.72628,1.2473,1.13801,0.0004556,0.0004556,0.0004556
80,42.9095,0.72606,1.02493,1.04377,0.97942,1,0.995,0.80579,0.72628,1.2473,1.13801,0.0004358,0.0004358,0.0004358
81,43.4187,0.76423,0.98749,1.10054,0.99087,1,0.995,0.81429,0.70132,1.21,1.12203,0.000416,0.000416,0.000416
82,43.9152,0.64943,0.92276,0.97647,0.99087,1,0.995,0.81429,0.70132,1.21,1.12203,0.0003962,0.0003962,0.0003962
83,44.4042,0.72291,0.98896,1.01429,0.9989,1,0.995,0.81429,0.66279,1.23047,1.09365,0.0003764,0.0003764,0.0003764
84,44.9055,0.71357,0.89455,1.0066,0.9992,1,0.995,0.85567,0.64303,1.20326,1.08189,0.0003566,0.0003566,0.0003566
85,45.4218,0.78762,1.01236,1.03072,0.9992,1,0.995,0.85567,0.64303,1.20326,1.08189,0.0003368,0.0003368,0.0003368
86,45.9501,0.63928,0.87659,0.97739,0.99012,1,0.995,0.88983,0.63432,1.15584,1.07736,0.000317,0.000317,0.000317
87,46.472,0.71184,0.92078,1.01292,0.99012,1,0.995,0.88983,0.63432,1.15584,1.07736,0.0002972,0.0002972,0.0002972
88,46.9935,0.7482,0.95616,0.97376,0.98411,1,0.995,0.88633,0.64841,1.14388,1.08094,0.0002774,0.0002774,0.0002774
89,47.4752,0.73189,0.99677,1.03452,0.98411,1,0.995,0.88633,0.64841,1.14388,1.08094,0.0002576,0.0002576,0.0002576
90,47.9785,0.74743,0.91204,0.9875,0.98339,1,0.995,0.8755,0.67805,1.1175,1.09369,0.0002378,0.0002378,0.0002378
91,49.161,0.73566,1.15334,1.03197,0.98322,1,0.995,0.8675,0.70472,1.0954,1.10814,0.000218,0.000218,0.000218
92,49.6672,0.70856,1.08871,1.01002,0.98322,1,0.995,0.8675,0.70472,1.0954,1.10814,0.0001982,0.0001982,0.0001982
93,50.1757,0.68752,1.14256,0.97672,0.98323,1,0.995,0.84317,0.73615,1.07991,1.11756,0.0001784,0.0001784,0.0001784
94,50.6717,0.62169,1.11714,0.95509,0.98323,1,0.995,0.84317,0.73615,1.07991,1.11756,0.0001586,0.0001586,0.0001586
95,51.1877,0.6416,1.08758,0.93401,0.9836,1,0.995,0.82333,0.76833,1.06559,1.13424,0.0001388,0.0001388,0.0001388
96,51.6764,0.63588,1.11226,0.99832,0.9836,1,0.995,0.82333,0.76833,1.06559,1.13424,0.000119,0.000119,0.000119
97,52.1989,0.68073,1.10754,0.9989,0.9845,1,0.995,0.82333,0.78674,1.05316,1.14633,9.92e-05,9.92e-05,9.92e-05
98,52.6887,0.63598,1.08079,1.00756,0.98614,1,0.995,0.82333,0.80162,1.04775,1.14843,7.94e-05,7.94e-05,7.94e-05
99,53.2038,0.65883,1.05537,0.93065,0.98614,1,0.995,0.82333,0.80162,1.04775,1.14843,5.96e-05,5.96e-05,5.96e-05
100,53.7065,0.6866,1.13148,1.05641,0.98618,1,0.995,0.83467,0.80568,1.0495,1.15165,3.98e-05,3.98e-05,3.98e-05
